City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
551,Rio Cuarto,AR,83.97,few clouds,-33.1307,-64.3499,Grand Hotel Río Cuarto
554,Ewa Beach,US,79.09,broken clouds,21.3156,-158.0072,Uncle Junior Robert
560,Sinnamary,GF,76.26,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
561,Corn Island,NI,78.96,clear sky,12.1694,-83.0418,Big Fish Guest House
562,Eirunepe,BR,77.56,overcast clouds,-6.6603,-69.8736,Atrás de você
573,Cockburn Town,TC,75.16,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
582,Manokwari,ID,79.92,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
584,Puga,MX,80.67,clear sky,21.5833,-104.8167,Del sol
587,Saint-Leu,RE,76.06,few clouds,-21.15,55.2833,La Caz Oceane
594,Bowen,AU,79.02,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
597,Kilindoni,TZ,79.68,light rain,-7.9139,39.6668,Bustani B&B
598,Pozo Colorado,PY,83.1,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
602,Maragogi,BR,78.51,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
608,Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
610,Lethem,GY,84.22,broken clouds,3.3803,-59.7968,Savannah Inn
613,Takoradi,GH,78.28,broken clouds,4.8845,-1.7554,Raybow International Hotel
614,Hobyo,SO,76.62,light rain,5.3505,48.5268,Halane Hotel and Restaurent
616,Murwillumbah,AU,87.13,scattered clouds,-28.3167,153.4,Murwillumbah Motor Inn
638,Bubaque,GW,77.99,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
643,Mahajanga,MG,80.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
652,Tautira,PF,86.02,overcast clouds,-17.7333,-149.15,Pension Oaoa
653,Calabozo,VE,84.11,scattered clouds,8.9242,-67.4293,Hotel Giardini
655,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
659,Moree,AU,82.42,scattered clouds,-29.4667,149.85,Molika Springs Motel
664,Bitung,ID,79.65,overcast clouds,1.4451,125.1824,K2 Lembeh
669,Male,MV,82.35,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
671,Ciamis,ID,75.22,overcast clouds,-7.3257,108.3534,The Priangan Boutique Hotel @ Yos Sudarso
673,Coahuayana,MX,81.95,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
679,Leopoldina,BR,78.1,overcast clouds,-21.5319,-42.6431,Palace Hotel
686,Monte Alegre,BR,75.07,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
