City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
85,San Patricio,US,2022-01-29 21:51:59,28.017,-97.5169,66.29,25,43,5.77
86,Lorengau,PG,2022-01-29 21:51:59,-2.0226,147.2712,81.88,78,99,7.07
87,Rawson,AR,2022-01-29 21:50:52,-43.3002,-65.1023,81.68,34,71,12.19
88,Fortuna,US,2022-01-29 21:52:00,40.5982,-124.1573,59.86,76,0,3.0
89,Krotoszyn,PL,2022-01-29 21:52:00,51.6987,17.4374,47.75,84,100,27.92
90,Kostyantynivka,UA,2022-01-29 21:52:01,48.5277,37.7069,28.74,95,100,12.5
91,Alta Floresta,BR,2022-01-29 21:53:01,-9.8756,-56.0861,70.29,98,100,2.93
92,Channel-Port Aux Basques,CA,2022-01-29 21:53:02,47.5702,-59.1367,34.36,97,100,47.78
93,Abha,SA,2022-01-29 21:53:02,18.2164,42.5053,55.22,76,0,6.91
94,Cape Town,ZA,2022-01-29 21:53:03,-33.9258,18.4232,68.11,71,0,4.0
95,Quelimane,MZ,2022-01-29 21:53:03,-17.8786,36.8883,80.55,88,20,5.99
96,La Romana,DO,2022-01-29 21:53:03,18.4273,-68.9728,82.76,78,20,17.27
97,Namibe,AO,2022-01-29 21:53:04,-15.1961,12.1522,72.03,77,100,6.67
98,New Norfolk,AU,2022-01-29 21:51:40,-42.7826,147.0587,63.66,60,20,1.01
99,Mairana,BO,2022-01-29 21:53:04,-18.1167,-63.9333,66.45,69,94,1.41
100,Taoudenni,ML,2022-01-29 21:53:05,22.6783,-3.9836,72.16,11,94,11.56
101,Santa Maria,BR,2022-01-29 21:53:05,-29.6842,-53.8069,79.9,44,20,14.97
102,Mar Del Plata,AR,2022-01-29 21:53:05,-38.0023,-57.5575,84.22,57,0,11.99
103,Port Alfred,ZA,2022-01-29 21:51:30,-33.5906,26.891,70.12,85,44,12.08
104,Geraldton,AU,2022-01-29 21:53:06,-28.7667,114.6,68.41,94,0,4.61
105,Airai,TL,2022-01-29 21:53:06,-8.9266,125.4092,61.2,91,100,3.31
106,Kontagora,NG,2022-01-29 21:53:07,10.3999,5.4695,77.29,12,54,11.05
107,Itoman,JP,2022-01-29 21:53:07,26.1247,127.6694,64.42,82,75,12.66
108,Kaitangata,NZ,2022-01-29 21:53:08,-46.2817,169.8464,56.79,93,100,3.85
109,Ponta Do Sol,PT,2022-01-29 21:53:08,32.6667,-17.1,64.0,68,22,5.57
110,Mogok,MM,2022-01-29 21:53:09,22.9167,96.5,46.45,75,0,2.59
111,Dunedin,NZ,2022-01-29 21:48:12,-45.8742,170.5036,59.31,81,100,3.42
112,Muros,ES,2022-01-29 21:53:09,42.7762,-9.0603,54.1,80,15,5.57
113,Komsomolskiy,UZ,2022-01-29 21:53:10,40.4272,71.7189,36.32,87,75,0.0
114,Jiayuguan,CN,2022-01-29 21:53:10,39.8167,98.3,11.46,64,4,2.37
115,Kandiari,PK,2022-01-29 21:53:11,26.9156,68.5216,62.28,33,0,6.02
116,Hamilton,US,2022-01-29 21:53:11,39.1834,-84.5333,25.99,59,16,1.99
117,Tahta,EG,2022-01-29 21:53:11,26.7693,31.5021,50.11,51,0,5.97
118,Nanortalik,GL,2022-01-29 21:53:12,60.1432,-45.2371,20.71,64,100,17.83
119,Upernavik,GL,2022-01-29 21:53:04,72.7868,-56.1549,3.04,92,100,9.6
120,Kodiak,US,2022-01-29 21:53:13,57.79,-152.4072,30.06,73,73,9.86
121,Suoyarvi,RU,2022-01-29 21:53:13,62.0833,32.35,18.79,85,100,11.5
122,Chokurdakh,RU,2022-01-29 21:53:13,70.6333,147.9167,-11.78,85,100,1.74
123,Foumban,CM,2022-01-29 21:53:14,5.7291,10.9001,67.46,25,100,3.89
